what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796830102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796832518
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426796836525
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1426796836527
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426796836527
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426796836532
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426796838195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796838518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796842705
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426796842716
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426796844940
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1426796845064
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1426796845070
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 127",1426796846607
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/u/ECE385/ece385lab8/trunk/lab8_usb/software/usb_kb/usb_kb.elf] return code: 127",1426796848653
error,log,,,"Downloading ELF Process failed",1426796848658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796848671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796850671
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426796850777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796855010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426796855120
