what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1427877343285
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1427877343285
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1427877343285
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427877343286
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427877343286
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427877343288
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427877343288
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1427877343289
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1427877343289
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1427877343289
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1427877343290
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1427877343290
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1427877343290
os,sysinfo,,,"win32",1427877343292
arch,sysinfo,,,"x86_64",1427877343292
ws,sysinfo,,,"win32",1427877343292
locale,sysinfo,,,"en_US",1427877343292
processors,sysinfo,,,"8",1427877343292
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427877343292
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1427877343292
java.specification.name,sysinfo,,,"Java Platform API Specification",1427877343292
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427877343292
java.specification.version,sysinfo,,,"1.6",1427877343292
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427877343292
java.version,sysinfo,,,"1.6.0_23",1427877343292
java.vm.info,sysinfo,,,"mixed mode",1427877343292
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1427877343292
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427877343292
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427877343292
java.vm.specification.version,sysinfo,,,"1.0",1427877343292
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427877343292
java.vm.version,sysinfo,,,"19.0-b09",1427877343292
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1427877344395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877344691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877350336
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1427877352130
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1427877352217
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1427877352245
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1427877352325
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1427877352383
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1427877358256
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1427877358274
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1427877358421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877377128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877392885
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427877392892
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1427877393100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877398222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877466496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877469866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877472777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1427877472781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427877473514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427880273744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427880274903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427880275706
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427880275816
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1427880276368
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1427880276369
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1427880276369
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1427880276369
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1427880276370
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1427880276370
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1427880276370
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1427880276370
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1427880276370
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1427880276370
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1427880276372
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1427880276373
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1427880276373
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1427880276374
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1427880276374
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1427880276375
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1427880276376
